"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)"
"93","2012","11","Tamil Nadu","The Nilgiris","0.29","1.15","3965.52"
"168","2015","9","Punjab","Jalandhar","203.99","806.72","3954.7"
"85","2015","11","Tamil Nadu","North Arcot / Vellore","190.65","752.96","3949.44"
"62","2016","20","Telangana","Karimnagar","369.13","1457.37","3948.09"
"37","2016","6","Madhya Pradesh","Sehore","24.0","94.67","3944.58"
"167","2009","9","Punjab","Kapurthala","115.0","452.0","3930.43"
"176","2011","9","Punjab","Patiala","316.22","1242.78","3930.11"
"84","2016","11","Tamil Nadu","South Arcot / Cuddalore","314.21","1233.22","3924.87"
"172","2010","9","Punjab","Ferozpur","542.16","2127.64","3924.38"
"88","2009","11","Tamil Nadu","Tiruchirapalli / Trichy","147.36","576.62","3912.95"
"93","2008","11","Tamil Nadu","The Nilgiris","0.78","3.05","3910.26"
"172","2014","9","Punjab","Ferozpur","595.32","2325.0","3905.46"
"49","2014","1","Andhra Pradesh","Guntur","333.74","1298.65","3891.24"
"167","2010","9","Punjab","Kapurthala","118.0","459.0","3889.83"
"73","2016","5","Karnataka","Bellary","87.01","337.8","3882.34"
"48","2016","1","Andhra Pradesh","Krishna","231.41","897.72","3879.35"
"51","2014","1","Andhra Pradesh","Kurnool","131.75","509.21","3865.01"
"47","2015","1","Andhra Pradesh","West Godavari","403.8","1558.51","3859.61"
"183","2016","4","Haryana","Ambala","167.3","645.0","3855.35"
"167","2013","9","Punjab","Kapurthala","117.0","451.0","3854.7"
"93","2017","11","Tamil Nadu","The Nilgiris","0.24","0.92","3853.56"
"168","2012","9","Punjab","Jalandhar","199.77","768.96","3849.23"
"168","2008","9","Punjab","Jalandhar","186.72","717.93","3844.95"
"50","2008","1","Andhra Pradesh","S.P.S. Nellore","307.02","1180.07","3843.64"
"176","2010","9","Punjab","Patiala","315.64","1205.23","3818.37"
"56","2012","20","Telangana","Nizamabad","192.96","736.19","3815.25"
"73","2017","5","Karnataka","Bellary","101.93","388.34","3809.74"
"56","2010","20","Telangana","Nizamabad","221.62","844.24","3809.4"
"170","2012","9","Punjab","Roopnagar / Ropar","53.5","203.5","3803.74"
"167","2012","9","Punjab","Kapurthala","117.0","445.0","3803.42"
"183","2015","4","Haryana","Ambala","167.8","638.0","3802.15"
"150","2013","10","Rajasthan","Ganganagar","32.28","122.69","3800.81"
"54","2017","1","Andhra Pradesh","Chittoor","64.81","246.15","3797.99"
"183","2013","4","Haryana","Ambala","158.0","600.0","3797.47"
"54","2015","1","Andhra Pradesh","Chittoor","88.15","334.55","3795.24"
"90","2012","11","Tamil Nadu","Madurai","37.82","143.45","3792.97"
"184","2017","4","Haryana","Karnal","508.45","1927.62","3791.18"
"49","2011","1","Andhra Pradesh","Guntur","347.32","1316.41","3790.21"
"46","2015","1","Andhra Pradesh","East Godavari","381.74","1445.57","3786.79"
"73","2013","5","Karnataka","Bellary","110.55","418.62","3786.7"
"50","2009","1","Andhra Pradesh","S.P.S. Nellore","315.99","1189.95","3765.82"
"911","2012","2","Bihar","Shahabad (now part of Bhojpur district)","458.75","1726.82","3764.19"
"172","2011","9","Punjab","Ferozpur","544.12","2047.84","3763.58"
"72","2017","5","Karnataka","Chitradurga","65.99","248.3","3762.79"
"911","2011","2","Bihar","Shahabad (now part of Bhojpur district)","460.7","1732.18","3759.89"
"83","2015","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","199.14","748.5","3758.66"
"51","2012","1","Andhra Pradesh","Kurnool","97.75","367.26","3757.06"
"167","2008","9","Punjab","Kapurthala","114.0","428.0","3754.39"
"167","2014","9","Punjab","Kapurthala","117.0","439.0","3752.14"
"85","2012","11","Tamil Nadu","North Arcot / Vellore","127.48","478.31","3752.04"
"87","2016","11","Tamil Nadu","Coimbatore","70.87","265.71","3749.48"
"56","2011","20","Telangana","Nizamabad","259.81","972.2","3741.97"
"183","2011","4","Haryana","Ambala","164.5","615.0","3738.6"
"168","2014","9","Punjab","Jalandhar","201.77","753.86","3736.23"
"911","2017","2","Bihar","Shahabad (now part of Bhojpur district)","492.74","1840.01","3734.21"
"72","2015","5","Karnataka","Chitradurga","99.56","371.56","3732.02"
"909","2011","2","Bihar","Bhagalpur","126.43","471.72","3731.08"
"169","2012","9","Punjab","Hoshiarpur","92.23","344.04","3730.24"
"78","2016","5","Karnataka","Raichur","169.29","631.06","3727.77"
"88","2008","11","Tamil Nadu","Tiruchirapalli / Trichy","154.76","576.85","3727.25"
"83","2008","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","173.11","645.07","3726.36"
"170","2010","9","Punjab","Roopnagar / Ropar","56.5","210.5","3725.66"
"165","2011","9","Punjab","Gurdaspur","174.39","649.0","3721.54"
"48","2011","1","Andhra Pradesh","Krishna","272.03","1011.54","3718.49"
"169","2015","9","Punjab","Hoshiarpur","95.01","353.28","3718.35"
"169","2011","9","Punjab","Hoshiarpur","96.23","357.14","3711.32"
"92","2016","11","Tamil Nadu","Thirunelveli","48.44","179.75","3710.76"
"57","2016","20","Telangana","Medak","160.77","596.06","3707.62"
"170","2008","9","Punjab","Roopnagar / Ropar","49.5","183.0","3696.97"
"51","2013","1","Andhra Pradesh","Kurnool","147.06","543.56","3696.13"
"26","2012","6","Madhya Pradesh","Morena","13.71","50.67","3695.84"
"46","2008","1","Andhra Pradesh","East Godavari","410.09","1513.26","3690.07"
"68","2014","5","Karnataka","Mandya","66.52","245.46","3690.02"
"169","2009","9","Punjab","Hoshiarpur","91.84","338.48","3685.54"
"61","2016","20","Telangana","Khammam","121.0","445.76","3683.86"
"168","2010","9","Punjab","Jalandhar","198.38","728.91","3674.31"
"87","2011","11","Tamil Nadu","Coimbatore","100.52","369.22","3672.92"
"169","2010","9","Punjab","Hoshiarpur","95.62","351.09","3671.72"
"167","2011","9","Punjab","Kapurthala","118.0","433.0","3669.49"
"56","2014","20","Telangana","Nizamabad","169.27","620.53","3665.92"
"68","2015","5","Karnataka","Mandya","58.49","214.38","3665.24"
"183","2014","4","Haryana","Ambala","163.0","596.0","3656.44"
"57","2013","20","Telangana","Medak","170.97","624.49","3652.63"
"73","2015","5","Karnataka","Bellary","93.67","341.44","3645.14"
"54","2016","1","Andhra Pradesh","Chittoor","46.7","170.2","3644.56"
"50","2010","1","Andhra Pradesh","S.P.S. Nellore","330.44","1202.9","3640.34"
"26","2013","6","Madhya Pradesh","Morena","16.11","58.64","3639.98"
"169","2008","9","Punjab","Hoshiarpur","80.28","292.07","3638.14"
"72","2014","5","Karnataka","Chitradurga","138.71","504.16","3634.63"
"92","2011","11","Tamil Nadu","Thirunelveli","121.6","441.97","3634.62"
"183","2009","4","Haryana","Ambala","164.2","596.0","3629.72"
"56","2017","20","Telangana","Nizamabad","267.21","968.95","3626.14"
"91","2014","11","Tamil Nadu","Ramananthapuram","201.57","729.45","3618.84"
"48","2008","1","Andhra Pradesh","Krishna","394.53","1427.3","3617.72"
"53","2014","1","Andhra Pradesh","Kadapa YSR","45.89","165.84","3613.86"
"168","2011","9","Punjab","Jalandhar","199.77","720.86","3608.45"
"54","2012","1","Andhra Pradesh","Chittoor","47.51","171.41","3607.87"
"702","2012","8","Orissa","Bolangir","330.84","1193.17","3606.49"
"169","2013","9","Punjab","Hoshiarpur","91.84","330.78","3601.7"
"73","2008","5","Karnataka","Bellary","122.72","441.87","3600.64"
"47","2011","1","Andhra Pradesh","West Godavari","363.79","1308.47","3596.77"
"87","2015","11","Tamil Nadu","Coimbatore","80.98","291.01","3593.32"
"48","2012","1","Andhra Pradesh","Krishna","264.53","950.52","3593.24"
"48","2009","1","Andhra Pradesh","Krishna","336.64","1209.29","3592.23"
"62","2013","20","Telangana","Karimnagar","417.91","1500.84","3591.3"
"93","2010","11","Tamil Nadu","The Nilgiris","0.39","1.4","3589.74"
"56","2008","20","Telangana","Nizamabad","190.03","679.61","3576.33"
"91","2011","11","Tamil Nadu","Ramananthapuram","242.4","866.89","3576.28"
"150","2010","10","Rajasthan","Ganganagar","30.34","108.5","3576.14"
"168","2013","9","Punjab","Jalandhar","201.16","719.22","3575.36"
"165","2017","9","Punjab","Gurdaspur","204.0","729.0","3573.53"
"51","2017","1","Andhra Pradesh","Kurnool","109.67","391.52","3570.06"
"51","2011","1","Andhra Pradesh","Kurnool","125.68","448.24","3566.47"
"49","2009","1","Andhra Pradesh","Guntur","362.3","1291.65","3565.11"
"169","2014","9","Punjab","Hoshiarpur","93.23","332.14","3562.59"
"57","2010","20","Telangana","Medak","144.56","514.92","3561.98"
"177","2016","4","Haryana","Hissar","289.75","1031.73","3560.75"
"177","2013","4","Haryana","Hissar","217.36","773.85","3560.22"
"62","2014","20","Telangana","Karimnagar","278.43","990.96","3559.1"
"47","2008","1","Andhra Pradesh","West Godavari","450.46","1600.38","3552.77"
"73","2012","5","Karnataka","Bellary","109.15","387.78","3552.73"
"62","2012","20","Telangana","Karimnagar","289.43","1026.88","3547.94"
"814","2013","13","West Bengal","Malda","198.77","704.37","3543.64"
"62","2010","20","Telangana","Karimnagar","381.52","1351.86","3543.35"
"73","2010","5","Karnataka","Bellary","130.68","462.98","3542.85"
"60","2016","20","Telangana","Warangal","275.02","973.41","3539.43"
"89","2017","11","Tamil Nadu","Thanjavur","520.25","1840.14","3537.05"
"37","2015","6","Madhya Pradesh","Sehore","33.0","116.67","3535.45"
"73","2011","5","Karnataka","Bellary","116.17","410.63","3534.73"
"177","2017","4","Haryana","Hissar","305.38","1077.83","3529.46"
"150","2014","10","Rajasthan","Ganganagar","39.42","139.12","3529.17"
"59","2016","20","Telangana","Nalgonda","356.25","1256.43","3526.82"
"909","2017","2","Bihar","Bhagalpur","125.45","441.68","3520.68"
"177","2012","4","Haryana","Hissar","207.57","730.4","3518.88"
"72","2013","5","Karnataka","Chitradurga","129.79","456.33","3515.91"
"177","2008","4","Haryana","Hissar","198.85","698.95","3514.93"
"83","2010","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","178.96","628.84","3513.86"
"49","2012","1","Andhra Pradesh","Guntur","206.87","725.08","3504.99"
"62","2008","20","Telangana","Karimnagar","335.96","1176.0","3500.42"
"46","2009","1","Andhra Pradesh","East Godavari","306.58","1073.1","3500.23"
"26","2015","6","Madhya Pradesh","Morena","20.0","70.0","3500.0"
"237","2017","16","Uttarakhand","Nainital","132.39","462.89","3496.51"
"912","2014","2","Bihar","Gaya","408.54","1427.25","3493.54"
"68","2013","5","Karnataka","Mandya","65.62","229.15","3492.08"
"46","2011","1","Andhra Pradesh","East Godavari","337.09","1176.83","3491.14"
"93","2009","11","Tamil Nadu","The Nilgiris","0.51","1.78","3490.2"
"170","2014","9","Punjab","Roopnagar / Ropar","50.5","176.0","3485.15"
"107","2016","7","Maharashtra","Kolhapur","114.2","397.8","3483.36"
"49","2008","1","Andhra Pradesh","Guntur","393.29","1368.83","3480.46"
"912","2017","2","Bihar","Gaya","433.19","1505.74","3475.97"
"170","2013","9","Punjab","Roopnagar / Ropar","50.5","175.5","3475.25"
"170","2009","9","Punjab","Roopnagar / Ropar","53.0","184.0","3471.7"
"48","2014","1","Andhra Pradesh","Krishna","288.04","998.8","3467.57"
"814","2014","13","West Bengal","Malda","204.19","707.57","3465.25"
"184","2013","4","Haryana","Karnal","484.56","1677.4","3461.7"
"67","2013","5","Karnataka","Mysore","117.83","407.47","3458.12"
"165","2010","9","Punjab","Gurdaspur","204.0","705.0","3455.88"
"48","2015","1","Andhra Pradesh","Krishna","220.68","762.64","3455.86"
"170","2011","9","Punjab","Roopnagar / Ropar","54.0","186.5","3453.7"
"83","2016","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","169.58","585.18","3450.65"
"136","2017","3","Gujarat","Sabarkantha","8.66","29.87","3448.97"
"27","2014","6","Madhya Pradesh","Bhind","6.0","20.67","3445.0"
"73","2014","5","Karnataka","Bellary","118.64","408.13","3440.07"
"94","2017","11","Tamil Nadu","Kanyakumari","9.63","33.03","3431.03"
"51","2008","1","Andhra Pradesh","Kurnool","132.47","454.09","3427.84"
"184","2012","4","Haryana","Karnal","489.8","1678.84","3427.62"
"912","2016","2","Bihar","Gaya","420.09","1438.68","3424.65"
"911","2013","2","Bihar","Shahabad (now part of Bhojpur district)","493.8","1690.29","3423.03"
"49","2013","1","Andhra Pradesh","Guntur","391.92","1340.84","3421.25"
"68","2010","5","Karnataka","Mandya","81.04","277.06","3418.81"
"814","2015","13","West Bengal","Malda","206.35","705.36","3418.27"
"83","2009","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","171.96","587.72","3417.77"
"72","2011","5","Karnataka","Chitradurga","151.32","516.96","3416.34"
"150","2008","10","Rajasthan","Ganganagar","30.66","104.64","3412.92"
"67","2015","5","Karnataka","Mysore","107.4","366.09","3408.66"
"184","2016","4","Haryana","Karnal","498.94","1700.64","3408.51"
"57","2017","20","Telangana","Medak","180.79","615.82","3406.18"
"814","2016","13","West Bengal","Malda","197.17","670.65","3401.3"
"72","2010","5","Karnataka","Chitradurga","156.47","532.01","3400.08"
"237","2015","16","Uttarakhand","Nainital","127.04","431.22","3394.36"
"47","2009","1","Andhra Pradesh","West Godavari","328.58","1115.06","3393.57"
"68","2011","5","Karnataka","Mandya","74.16","251.64","3393.2"
"54","2013","1","Andhra Pradesh","Chittoor","49.86","169.02","3389.89"
"909","2014","2","Bihar","Bhagalpur","124.21","419.46","3377.02"
"57","2012","20","Telangana","Medak","110.36","372.6","3376.22"
"67","2014","5","Karnataka","Mysore","117.04","395.0","3374.91"
"177","2014","4","Haryana","Hissar","243.91","822.3","3371.33"
"805","2015","13","West Bengal","Burdwan","578.47","1949.43","3369.98"
"911","2014","2","Bihar","Shahabad (now part of Bhojpur district)","480.88","1619.59","3367.97"
"911","2015","2","Bihar","Shahabad (now part of Bhojpur district)","477.68","1605.57","3361.18"
"59","2009","20","Telangana","Nalgonda","273.43","918.97","3360.9"
"183","2010","4","Haryana","Ambala","165.6","556.0","3357.49"
"806","2015","13","West Bengal","Birbhum","399.51","1340.67","3355.79"
"72","2008","5","Karnataka","Chitradurga","138.88","465.22","3349.8"
"51","2009","1","Andhra Pradesh","Kurnool","147.35","492.63","3343.21"
"62","2017","20","Telangana","Karimnagar","353.68","1182.07","3342.24"
"805","2013","13","West Bengal","Burdwan","604.19","2016.62","3337.72"
"912","2012","2","Bihar","Gaya","450.17","1499.42","3330.79"
"79","2016","5","Karnataka","Gulbarga / Kalaburagi","96.88","322.59","3329.87"
"59","2017","20","Telangana","Nalgonda","415.25","1380.74","3325.09"
"803","2017","13","West Bengal","Nadia","242.66","804.3","3314.53"
"806","2013","13","West Bengal","Birbhum","384.61","1274.1","3312.71"
"72","2009","5","Karnataka","Chitradurga","148.53","491.44","3308.69"
"46","2010","1","Andhra Pradesh","East Godavari","410.53","1357.62","3306.99"
"54","2011","1","Andhra Pradesh","Chittoor","51.11","168.93","3305.22"
"165","2008","9","Punjab","Gurdaspur","201.0","663.0","3298.51"
"177","2015","4","Haryana","Hissar","282.25","930.63","3297.18"
"237","2016","16","Uttarakhand","Nainital","130.44","429.93","3295.98"
"68","2009","5","Karnataka","Mandya","79.96","263.41","3294.27"
"804","2016","13","West Bengal","Murshidabad","375.29","1235.66","3292.58"
"53","2016","1","Andhra Pradesh","Kadapa YSR","50.33","165.64","3291.14"
"177","2010","4","Haryana","Hissar","208.82","687.24","3291.02"
"78","2013","5","Karnataka","Raichur","254.24","836.0","3288.23"
"60","2012","20","Telangana","Warangal","209.71","689.02","3285.58"
"72","2012","5","Karnataka","Chitradurga","120.43","395.38","3283.07"
"804","2015","13","West Bengal","Murshidabad","383.0","1257.25","3282.64"
"85","2008","11","Tamil Nadu","North Arcot / Vellore","149.31","489.81","3280.49"
"806","2014","13","West Bengal","Birbhum","384.73","1261.88","3279.91"
"59","2012","20","Telangana","Nalgonda","208.52","683.87","3279.64"
"20","2016","6","Madhya Pradesh","Satna","120.0","393.33","3277.75"
"203","2017","12","Uttar Pradesh","Pilibhit","140.74","461.08","3276.0"
"78","2008","5","Karnataka","Raichur","240.15","786.48","3274.95"
"57","2014","20","Telangana","Medak","110.89","363.08","3274.24"
"177","2011","4","Haryana","Hissar","205.52","671.66","3268.02"
"59","2010","20","Telangana","Nalgonda","405.32","1323.71","3265.84"
